Original Genotype ID,2020 Mote ID,MR DNA ID,Genotype,Outlier,Collection & Preservation Date,Species,Reef Name,Lat,Long,Region,Original Collection Date,Baums MSAT clonal ID,Comments/dates when corals introduced to nursery,Date Introduced into Nursery,Max Years Spent in Nursery,Max Years Spent from Original Collection,,,,,,,,,,,,,,,,,,,# previously collected =,#REF!
57,M-L-57,AC57.9,57.9,No,11/13/2019,cervicornis,W. end of offshore patches N. of Looe Key,24.55948,-81.41322,Lower Keys,11/11/2010,C1511,11/11/2010,11/11/2010,9.005,9.005,,,,,,,,,,,,,,,,,,,,
58,M-L-58,AC58.3,58.3,No,11/13/2019,cervicornis,Lions Den,24.52328,-81.53572,Lower Keys,11/16/2010, C1462 ,11/16/2010,11/16/2010,8.991,8.991,,,,,,,,,,,,,,,,,,,,
62,M-L-62,AC62.13,62.13,No,11/13/2019,cervicornis,Super Stag,24.52983,-81.64069,Lower Keys,5/21/2013,not genotyped,5/21/2013,5/21/2013,6.48,6.48,,,,,,,,,,,,,,,,,,,,
63,M-L-63,AC63,63,No,12/13/2019,cervicornis,Super Stag,24.52983,-81.64069,Lower Keys,5/21/2013,not genotyped,5/21/2013,5/21/2013,6.563,6.563,,,,,,,,,,,,,,,,,,,,
70,M-L-70,AC70,70,No,12/13/2019,cervicornis,patch 0.6nm WSW of Wonderland,24.55717,-81.51013,Lower Keys,5/21/2015,not genotyped,5/21/2015,5/21/2015,4.564,4.564,,,,,,,,,,,,,,,,,,,,
75,M-L-75,AC75,75,No,12/13/2019,cervicornis,ledge west of Looe,24.5401,-81.44882,Lower Keys,12/15/2015,not genotyped,12/15/2015,12/15/2015,3.995,3.995,,,,,,,,,,,,,,,,,,,,
76,M-L-76,AC76,76,No,12/13/2019,cervicornis,patch W. of Erinn's reef,24.52658,-81.50102,Lower Keys,2/17/2016,not genotyped,2/17/2016,2/17/2016,3.819,3.819,,,,,,,,,,,,,,,,,,,,
77,M-L-77,AC77,77,No,12/13/2019,cervicornis,Another patch E. of Erinn's reef,24.52999,-81.48959,Lower Keys,2/17/2016,not genotyped,2/17/2016,2/17/2016,3.819,3.819,,,,,,,,,,,,,,,,,,,,
78,M-L-78,AC78,78,No,12/13/2019,cervicornis,Another patch E. of Erinn's reef,24.52999,-81.48959,Lower Keys,2/17/2016,not genotyped,2/17/2016,2/17/2016,3.819,3.819,,,,,,,,,,,,,,,,,,,,
79,M-L-79,AC79,79,No,12/13/2019,cervicornis,Patch E. of American Shoals,24.5264,-81.50517,Lower Keys,2/29/2016,not genotyped,2/29/2016,2/29/2016,3.786,3.786,,,,,,,,,,,,,,,,,,,,
80,M-L-80,AC80,80,No,12/13/2019,cervicornis,Patch E. of American Shoals,24.5264,-81.50517,Lower Keys,2/29/2016,not genotyped,2/29/2016,2/29/2016,3.786,3.786,,,,,,,,,,,,,,,,,,,,
84,M-L-84,AC84,84,No,12/13/2019,cervicornis,Ledge N. of Acer 34,24.54129,-81.44031,Lower Keys,3/1/2016,not genotyped,3/1/2016,3/1/2016,3.784,3.784,,,,,,,,,,,,,,,,,,,,
88,M-L-88,AC88,88,No,12/13/2019,cervicornis,Acer 22/23,24.51766,-81.5441,Lower Keys,3/2/2016,not genotyped,3/2/2016,3/2/2016,3.781,3.781,,,,,,,,,,,,,,,,,,,,
89,M-L-89,AC89,89,No,12/13/2019,cervicornis,Acer 22/23,24.51766,-81.5441,Lower Keys,3/2/2016,not genotyped,3/2/2016,3/2/2016,3.781,3.781,,,,,,,,,,,,,,,,,,,,
90,M-L-90,AC90,90,Yes,12/13/2019,cervicornis,patch off Lower Sugarloaf,24.55255,-81.57993,Lower Keys,10/10/2019,not genotyped,10/10/2019,10/10/2019,0.175,0.175,,,,,,,,,,,,,,,,,,,,
CU-K1,C-U-K1,CU.K1,K1,Yes,12/13/2019,cervicornis,Nedimyer Live Rock Farm,24.9822,-80.4363,Upper Keys,1996,106,"received 7/15/15 - lost summer 2015 - replaced 12/9/15, rec'd more 6/11/18",12/9/2015,4.011,4.010951403,,,,,,,,,,,,,,,,,,,,
CU-K2,C-U-K2,CU.K2,K2,No,12/13/2019,cervicornis,Nedimyer Live Rock Farm,24.9822,-80.4363,Upper Keys,1996,107,"received 7/15/15 - lost summer 2015 - replaced 12/9/15, rec'd more 6/11/18",12/9/2015,4.011,4.010951403,,,,,,,,,,,,,,,,,,,,
CU-K3,C-U-K3,CU.K3,K3,No,12/13/2019,cervicornis,Nedimyer Live Rock Farm,24.9822,-80.4363,Upper Keys,1996,164,6/11/2018,6/11/2018,1.506,1.505817933,,,,,,,,,,,,,,,,,,,,
CM-2,C-M-2,,,No,12/13/2019,cervicornis,East Turtle Shoal off Grassy Key,24.72015,-80.92875,Middle Keys,4/24/2008,C1475,6/11/2018,6/11/2018,1.506,11.636,,,,,,,,,,,,,,,,,,,,
CM-5,C-M-5,,,No,12/13/2019,cervicornis,East Turtle Shoal off Grassy Key,24.71178333,-80.94596667,Middle Keys,4/24/2008,C1297,"received 6/3/16, rec'd more 6/11/18",6/3/2016,3.526,11.636,,,,,,,,,,,,,,,,,,,,
CM-6,C-M-6,,,No,12/13/2019,cervicornis,East Turtle Shoal off Grassy Key,24.71081667,-80.948,Middle Keys,4/24/2008,C1294,"received 4/20/15 - lost summer 2015 - received 6/3/16, rec'd more 6/11/18",6/3/2016,3.526,11.636,,,,,,,,,,,,,,,,,,,,
CU-12,C-U-12,CU12.19,12.19,No,11/12/2019,cervicornis,Patch Reef off Plantation Key (near 13),24.966,-80.4887,Upper Keys,1/13/2006,TNC C12,received 7/15/15 - lost summer 2015 - replaced 12/9/15,12/9/2015,3.926,13.829,,,,,,,,,,,,,,,,,,,,
CU-13,C-U-13,CU13.7,13.7,Yes,11/12/2019,cervicornis,Patch Reef off Plantation Key,24.9521,-80.48877,Upper Keys,1/13/2006,no data,received 7/15/15 - lost summer 2015 - replaced 12/9/15,12/9/2015,3.926,13.829,,,,,,,,,,,,,,,,,,,,
CU-19,C-U-19,CU19.8,19.8,No,11/13/2019,cervicornis,Patch Reef Off Tavernier,24.98787,-80.47833,Upper Keys,2/18/2006,TNC C19,received 7/15/15 - lost summer 2015 - replaced 12/9/15,12/9/2015,3.929,13.733,,,,,,,,,,,,,,,,,,,,
CU-23,C-U-23,CU23.22,23.22,Yes,11/13/2019,cervicornis,Reef edge off Lower Matecumbe,24.82543333,-80.6511,Upper Keys,5/6/2008,C1431,6/11/2018,6/11/2018,1.424,11.521,,,,,,,,,,,,,,,,,,,,
CU-24,C-U-24,CU24,24,No,12/13/2019,cervicornis,Reef edge off Lower Matecumbe,24.82555,-80.65162,Upper Keys,5/6/2008,C1433,received 6/14/16,6/14/2016,3.496,11.603,,,,,,,,,,,,,,,,,,,,
CU-25,C-U-25,CU25.13,25.13,No,11/13/2019,cervicornis,Reef edge off Lower Matecumbe,24.82612,-80.65123,Upper Keys,5/6/2008,C1418,received 6/14/16,6/14/2016,3.414,11.521,,,,,,,,,,,,,,,,,,,,
CU-27,C-U-27,CU27.4,27.4,No,11/13/2019,cervicornis,Inshore Patch Reef off Plantation Key,24.95703,-80.48503,Upper Keys,11/6/2008,C1422,received 6/14/16,6/14/2016,3.414,11.017,,,,,,,,,,,,,,,,,,,,
CU-28,C-U-28,CU28,28,No,12/13/2019,cervicornis,"Cannon patch near Little Conch, Offshore Reef Edge",24.93753,-80.48353,Upper Keys,11/6/2008,C1440,"received 6/14/16, rec'd more 6/11/18",6/14/2016,3.496,11.099,,,,,,,,,,,,,,,,,,,,
CU-30,C-U-30,CU30,30,No,12/13/2019,cervicornis,Patch Reef just off Triangle Marker off Tavernier,24.98853333,-80.4668,Upper Keys,5/13/2008,C1428,6/11/2018,6/11/2018,1.506,11.584,,,,,,,,,,,,,,,,,,,,
CU-43,C-U-43,CU43,43,No,12/13/2019,cervicornis,Patch Reef off Plantation Key,24.95188,-80.49162,Upper Keys,10/25/2009,C1495,"received 6/14/16, rec'd more 6/11/18",6/14/2016,3.496,10.133,,,,,,,,,,,,,,,,,,,,
CU-44,C-U-44,CU44,44,No,12/13/2019,cervicornis,"Inside Conch, Patch Reef off Tavernier",24.98812,-80.46372,Upper Keys,5/5/2010,C1412,"received 7/15/15 - lost summer 2015 - replaced 12/9/15, rec'd more 6/11/18",12/9/2015,4.011,9.607,,,,,,,,,,,,,,,,,,,,
